avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c4cca57c29540180af9d3efd4fffd73f~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a0e55119&x-expires=1784088000&x-signature=ibUk9J1zIRJri8I1dhlzIPRvjsM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601352', '601152']",I2IWFwAAAACOV4AEeERJl-yievH_HBssOVaC2_feBRCR7IlgScbk9w,894.0,{'formatted_range': '₱100-₱1K'},Jpongs_,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4175}}",jpolimar2nd,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/99e01707eb4e64d8301dd2d76654a8e0~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=43088c15&x-expires=1784088000&x-signature=MAU3DJMqMIm%2BINaz1axFHp%2FscQ4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '700645', '600942']",4-8EuQAAAACOV4AEeERJl-yievH_HBssVSbe7_5LcPqJXc2gYpvSVw,2842.0,{'formatted_range': '₱100-₱1K'},Dump ni jomar yee,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6504}}",jomaryeedump_5,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/853d91c2accc67644ee51252cc2ae0c4~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=48417742&x-expires=1784088000&x-signature=gRwyKgHaJMkPL6jTyyHKxBbiGGg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601152', '600942', '603014']",FJXiWgAAAACOV4AEeERJl-yievH_HBss6kZoZmHqG7TSuAv41sXhGA,1922.0,{'formatted_range': '₱0-₱100'},jomaryeedump,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 2481}}",jomaryeedump_2000,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/7144a2869447c8395cd856ca34610686~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=6f2f666b&x-expires=1784088000&x-signature=hUjrOTrGSpjLNCsK391T%2BKp8CPs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['824584', '601152', '601450']",L7PcYwAAAACOV4AEeERJl-yievH_HBsshmh4OB3xdmSeP7r9iHAURA,1004.0,{'formatted_range': '₱0-₱100'},yuni okayde😊,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5194}}",jomaryeedumpz,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/d6c132fe5e6a13a05e68da21d3bb4af3~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=2e87fd4f&x-expires=1784088000&x-signature=sUhAX6pvrWptYau9ZQnyqkoKWDY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['824584', '600001', '600024']",giMQhgAAAACOV4AEeERJl-yievH_HBssdsfXKMGxp82a0jiHyOyJtQ,169.0,{'formatted_range': '₱0-₱100'},WenceslaoShop,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5502}}",jomaryeedump8,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/74643d03ce0421a8199d7fa6e55b4362~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=8cfa94b8&x-expires=1784088000&x-signature=pe8ipRrqoCqtZ%2FexUwqh3eTPsdM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601755', '700645', '601739']",XTl2zwAAAACOV4AEeERJl-yievH_HBssRnaxqwIqDw63zrQTvVtLsA,7.0,{'formatted_range': '₱0-₱100'},JOMARYEEDUMP,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 5714}}",_lunaaserene,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c11cb6d460dc73dbbd57009cecbf0aba~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=bf920f44&x-expires=1784088000&x-signature=26JPlqXGaQ%2F91Yb3uw4gpCt0aq8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,3921.0,"['600001', '700437', '601739']",0Ktl2wAAAACOV4AEeERJl-yievH_HBss98ZZMcc5NxLGOJyAC0en7Q,127228.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",david sy,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4876}}",david.sy25,"{'amount': '198894.218417', 'currency': 'USD'}","{'amount': '198810.840923', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/29f01777f18e01daa6b7fa06525dc92e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=86b3d6d8&x-expires=1784088000&x-signature=hKiIBgvFXm8ISUeWn8VkKetYeUU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['605196', '603014', '604579']",ekTRtQAAAACOV4AEeERJl-yievH_HBssjAnMhoUO18D0YGM1BcJL9g,7043.0,{'formatted_range': '₱0-₱100'},jomaryeedump,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 6006}}",jomaryeedump52,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/d4833f7f78b4a5ef751e580f3ad1e6b5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a60c6ef7&x-expires=1784088000&x-signature=hd4J7zyzH6kvGL%2FAix%2F9r5VLO2w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,1940.0,"['601352', '824328', '601152']",OlDpxwAAAACOV4AEeERJl-yievH_HBssyJrMiLFJf1B0bD6BS5Ey8A,26566.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Fernando's Finds,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3398}}",majuuuuuuri,"{'amount': '105103.947971', 'currency': 'USD'}","{'amount': '103030.857739', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/d75bb4500cefbbe712fe4ae267d70cef~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=4d8e9664&x-expires=1784088000&x-signature=CNG0IHHTrQfFh2u5JacVJ%2FPQRdQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,2304.0,"['601352', '603014', '604453']",Y5EkgwAAAACOV4AEeERJl-yievH_HBssTrKMtvBlwwqFdFUyo9iOLA,88875.0,{'formatted_range': '₱10K+'},Jp Olimar🇵🇭,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6019}}",jpongs_,,,
