avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a6f6dd377e6f96da5f17e48d36fa8367~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=240c33d2&x-expires=1784685600&x-signature=jKW4QCwaqNDr7nuN8W2jZJ7nd9k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},746,94,"['700645', '600001', '605248']",v6S4HgAAAACOV4AEeERJl-yievH_HBsshTO2s98ptEmloQuE7cy0Ww,118795,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",🌈💗Jasmin Trisha Lerios💗🌈,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5438}}",jasmintrisha,"{'amount': '11024.264055', 'currency': 'USD'}","{'amount': '33.570482', 'currency': 'USD'}","{'amount': '10941.843463', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d4b94b7d4db628fdf4ee0e429404ef82~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=61250f49&x-expires=1784685600&x-signature=EV6q9EPhoDdnw%2BWDvM2OVn5GcBQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2262,844,"['700645', '604206', '824328']",T6vv4AAAAACOV4AEeERJl-yievH_HBsszBVZAvrEJn_ffCAESWDl1w,57871,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",thisismedane,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6779}}",thisismedane,"{'amount': '20509.062847', 'currency': 'USD'}","{'amount': '14605.586122', 'currency': 'USD'}","{'amount': '5871.364132', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d465aad05afa584f977e108c1f1021d2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f030e70b&x-expires=1784685600&x-signature=5lgXKwSYL5C4YUhNLtudnVcND7E%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1382,162,"['700645', '604453', '600154']",QxEZvAAAAACOV4AEeERJl-yievH_HBssOTqDiKPqEe7OGH2g21KFcA,16936,{'formatted_range': '₱10K+'},user at daily ➕patches here,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_45_54', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4834}}",lyza_gc,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c9bf0a061dba0f7c2a924e7b05a05b3a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=7a77f13f&x-expires=1784685600&x-signature=0LhSeCVKb6I0xkxy6RiIysg6o30%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1649,1145,"['700645', '601450', '602284']",EHjrEAAAAACOV4AEeERJl-yievH_HBssPC2zQzc3XQCF-MwfqI_arA,174182,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",CEO/FOUNDER JAKE RECOS PH🇵🇭,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4579}}",jake_recosph,"{'amount': '28241.003162', 'currency': 'USD'}","{'amount': '27156.013982', 'currency': 'USD'}","{'amount': '810.837334', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5ff4d7b33c11e6da9674fb371a119706~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=104ef207&x-expires=1784685600&x-signature=TaHoqxiS5xbH%2F7nuDwSBKNbZ9e0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,170,"['700645', '603014', '605248']",suzOpwAAAACOV4AEeERJl-yievH_HBssHYbTs1SqSSHdfR83j2xQJg,15131,{'formatted_range': '₱10K+'},ConyoTindero,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 7828}}",bewell_conyotindero,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/faffc8d78e4d22537b2c7e88da586812~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=9283aff8&x-expires=1784685600&x-signature=Qj8QA71GhAjPEsYCEu25f65o0nM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2485,106,"['700645', '601450', '602118']",4EVPQAAAAACOV4AEeERJl-yievH_HBss7SdTULGEszMSYyiBY78_nQ,39412,{'formatted_range': '₱10K+'},Olla Shop,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5271}}",olla.recos,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/e9f61729dd3aadb29889e1f873c351b5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=6768a035&x-expires=1784685600&x-signature=WSlMpNni4yD83Qugtns%2B6UGP2vY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,0,"['700645', '824328', '604968']",wI7GkQAAAACOV4AEeERJl-yievH_HBss_LgAkWy8UVKxswFJMz2E8g,46579,{'formatted_range': '₱10K+'},RML,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 7311}}",rml_mrtnz,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2cde4569ff7015be44d47b69f1d1f582~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=6521fcbd&x-expires=1784685600&x-signature=M4dkUJYSdGLpCukX5iq8LQknlOg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},4053,958,"['700645', '700437', '604206']",9v--PAAAAACOV4AEeERJl-yievH_HBssXJ5ypKFR2zqwzQw_ZsLwWQ,33362,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Height Pro Max,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 2527}}",heightpromax,"{'amount': '21925.383667', 'currency': 'USD'}","{'amount': '398.447468', 'currency': 'USD'}","{'amount': '21423.358211', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/3c6837a20077b742fd016bf11ddc1b85~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=8e9ee73c&x-expires=1784685600&x-signature=qnHZMWEzbwPWb%2Fh3ISWxmK1vPhw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,3104,"['700645', '601450', '601739']",_4901wAAAACOV4AEeERJl-yievH_HBssR4nRaMouflL85F_scQAyCw,3116,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Navi,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 4589}}",naviarts,"{'amount': '12928.123192', 'currency': 'USD'}","{'amount': '12875.672328', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/964ed7893a86450684be9fb091ce50d5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=9c590df6&x-expires=1784685600&x-signature=GbEGsGy3b%2FTttNVims9hI8Oj148%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2529,1941,"['700645', '601450', '600001']",sHCXVwAAAACOV4AEeERJl-yievH_HBssB8rh-liErZAc1DSU_Ck9VA,8923,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",SHAA,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5213}}",itsmesharlotte27,"{'amount': '14393.801287', 'currency': 'USD'}","{'amount': '104.900897', 'currency': 'USD'}","{'amount': '14250.168081', 'currency': 'USD'}"
