avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv,batch_name
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/33e3bf14cdf14d0c4dc2d5c1016204ba~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=14a85fc4&x-expires=1784725200&x-signature=0X1pBPm6TlL8F%2FWLRU53nIkW9wk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,0,"['700645', '602284', '605248']",PpYD6wAAAACOV4AEeERJl-yievH_HBsso8mhYL8QCQcTsL1d0S3hvw,846,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",shayah,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4444}}",shayahhhhhhhh_,"{'amount': '13590.599579', 'currency': 'USD'}",,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/63d9264c9d2ff1136c618d5f653a732d~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=c4df223a&x-expires=1784725200&x-signature=hbYA5agqk7mNkQ%2Fs1n1aiOs8riE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=a1d2006b&idc=my2'},0,27051,"['700645', '700437', '601450']",eUi3rgAAAACOV4AEeERJl-yievH_HBssJ6LJzBWGc-tyG1Ne55YEag,1428506,{'formatted_range': '₱10K+'},Toni Gonzaga,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5617}}",celestinegonzaga_,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/6d0f4cfcc31dd764eaa3994e271ee796~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=0aff039f&x-expires=1784725200&x-signature=pOrRbuyj2AfjTr5Bf3xSL7ZokGA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},593,58,"['700645', '601450', '700437']",n_t5lwAAAACOV4AEeERJl-yievH_HBss7i5JCOhl9uYk9wtX02-MrQ,5557,{'formatted_range': '₱10K+'},Ycar Blush Co.🍀,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6380}}",ycarfaustinoshop.ph,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2c315822ecda2e8d0a4760786b006eb8~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=eaad4f4d&x-expires=1784725200&x-signature=HDM4A29M38TPw8vG4goWFRJYF2k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},816,218,"['700645', '824328', '603014']",p_sjEAAAAACOV4AEeERJl-yievH_HBssUAPsUj8Gya7Pw1HRVpwUpw,3318,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",karl_store,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 4728}}",karl_store,"{'amount': '13171.612369', 'currency': 'USD'}","{'amount': '3020.194962', 'currency': 'USD'}","{'amount': '10151.417407', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/6eed34535b1cf551a1e8aeafcadf838e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=b4ccde11&x-expires=1784725200&x-signature=TzN9Qp6dAGhfASuJWDOf9lLPV%2Bo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,1018,"['700645', '603014', '600024']",NEQJfwAAAACOV4AEeERJl-yievH_HBssrsu_FD4uAWlux4UVoNVZXw,5317,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",BENTAmbay25,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5700}}",bentambay25,"{'amount': '19700.342138', 'currency': 'USD'}","{'amount': '19601.562317', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/88b9fb61c5c7cfbabd2a5045d6690a20~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d3a70469&x-expires=1784725200&x-signature=zzfn4KaN27zb5Kitx%2BSso0u4zVo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},4762,329,"['604968', '700645']",E6uuNAAAAACOV4AEeERJl-yievH_HBssAnlOGKyl-BWJ6nCamfIPdA,26604,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Cassandra | PCOS GIRLIE🌷🎀,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4983}}",sexyfindsshop,"{'amount': '28331.030843', 'currency': 'USD'}","{'amount': '22820.79036', 'currency': 'USD'}","{'amount': '5421.527315', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/222277ab0d73853da059c5f94570fd10~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=4eaaaeda&x-expires=1784725200&x-signature=HerokiEMfR5NSVDPEDEi0a04sQc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,415,"['604579', '603014', '605196']",002pYgAAAACOV4AEeERJl-yievH_HBssdyFxHZ37R9_PWwPphKzaRQ,19218,{'formatted_range': '₱10K+'},Bry Venture,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 4566}}",fypbry,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/bd4a80f647468badcd664a3fca25c54a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=af99007a&x-expires=1784725200&x-signature=rj3ziKzWJBmYSFJSF2SsIYScI3s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},314,162,"['601739', '700645', '600001']",bW5Y5AAAAACOV4AEeERJl-yievH_HBsspC47NPEih8CtKzjTeECmeg,2446,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",🧿🪬Disney Princess 👑,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4233}}",budolfinds272,"{'amount': '15578.986304', 'currency': 'USD'}","{'amount': '15564.938406', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/7c83b7d758b03b1191153b2ae36de2c3~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d4a85fdc&x-expires=1784725200&x-signature=JHk6%2BDoexbf5CUA7Gw3eZaBzzjM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,515,"['602118', '700645', '601739']",JZt8nQAAAACOV4AEeERJl-yievH_HBssonzrZ63eEhuFL3NHEV__bQ,9471,{'formatted_range': '₱10K+'},Agustin Carbero,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5931}}",tincabras_27,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ebdc9a616bc06fc966c2a572483237fc~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d14df01c&x-expires=1784725200&x-signature=5ceN0WlTKOUWV3x6M5jcwYYYnG8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,228,"['601739', '700645']",WqforAAAAACOV4AEeERJl-yievH_HBssNmvAnw3J7YZapsRhSNkRww,1175,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",elleph,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 2192}}",bitchbratzzz,"{'amount': '51398.386055', 'currency': 'USD'}","{'amount': '51398.386055', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
