avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2cde4569ff7015be44d47b69f1d1f582~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=8ce9e251&x-expires=1784718000&x-signature=bcZgHlTfbGDpjBP1EmOEYXBvAGk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},4053,958,"['700645', '700437', '604206']",9v--PAAAAACOV4AEeERJl-yievH_HBssXJ5ypKFR2zqwzQw_ZsLwWQ,33362,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Height Pro Max,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 2527}}",heightpromax,"{'amount': '21925.383667', 'currency': 'USD'}","{'amount': '398.447468', 'currency': 'USD'}","{'amount': '21423.358211', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/964ed7893a86450684be9fb091ce50d5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=593df64d&x-expires=1784718000&x-signature=uSmMAhPATWYTfYvuJ%2FnmQfsPoA8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2529,1941,"['700645', '601450', '600001']",sHCXVwAAAACOV4AEeERJl-yievH_HBssB8rh-liErZAc1DSU_Ck9VA,8923,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",SHAA,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5213}}",itsmesharlotte27,"{'amount': '14393.801287', 'currency': 'USD'}","{'amount': '104.900897', 'currency': 'USD'}","{'amount': '14250.168081', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/11101c5ab30136cf4cb1d2497299866c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=fc27baad&x-expires=1784718000&x-signature=n0KLxOpuaRpou8XuGVIH5n0GLFU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},7915,0,"['700645', '601739', '601450']",3XtjvwAAAACOV4AEeERJl-yievH_HBssxkSB5OfVqgrE_DQI4jRltw,42532,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",TWINKLE ✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6429}}",lcrkel,"{'amount': '13058.873855', 'currency': 'USD'}","{'amount': '629.361025', 'currency': 'USD'}","{'amount': '12393.647031', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/975b0ca322be8093dc541702b7d3274c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=9afddc5e&x-expires=1784718000&x-signature=Auw32O5bOonQp7oErCtxGQa3Z%2FY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2975,0,"['700645', '700437', '600024']",OavEtgAAAACOV4AEeERJl-yievH_HBss5yTB4fpMWpsNxyEzp_VkEw,213239,{'formatted_range': '₱10K+'},Chef Ayb's Paragis PH,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44', 'AGE_RANGE_45_54'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5299}}",chefaybsparagisph,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/7af11d9f1192078a7d558769e54c6d06~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=1fb6eb93&x-expires=1784718000&x-signature=JmNRfHMFQhl5%2F6RIXoICtGYhvZg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},8202,0,"['700645', '601450', '602284']",SGNsMgAAAACOV4AEeERJl-yievH_HBsslxXfENI5sRX4yJ-LLv4a7A,104008,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Julian CV,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_45_54', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5724}}",cutieann429,"{'amount': '11923.910746', 'currency': 'USD'}","{'amount': '1742.040626', 'currency': 'USD'}","{'amount': '10176.217319', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/c4fdf124efb31af520faa6fc191464ba~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=bf0b72f7&x-expires=1784718000&x-signature=Gx88f1WUO%2Fg6QIkz8Dh9zrU3mD0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2038,0,"['700645', '700437', '605248']",xVbXRAAAAACOV4AEeERJl-yievH_HBssYb6VqBirwFi8mbUoVJBejA,49499,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Ms. Carlyn ✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5482}}",carlynskincare101,"{'amount': '12293.920929', 'currency': 'USD'}","{'amount': '989.987333', 'currency': 'USD'}","{'amount': '11303.933596', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/1ec51fea6847aba9b13fab25afda14e2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a8794a58&x-expires=1784718000&x-signature=gj%2Bl5MHf0gC8Kahw0U8K8bJ0fIk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3110,2766,"['700645', '604968', '601739']",wri3XgAAAACOV4AEeERJl-yievH_HBssSbVy7KbfhIh0r5Sn1uF1Dg,15487,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Sir Jed | Dr. Daily 💜,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5294}}",sirjeddaily,"{'amount': '34486.128283', 'currency': 'USD'}","{'amount': '33767.703233', 'currency': 'USD'}","{'amount': '395.368196', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/c88d9e2edafa40bd6c6f0d0979edc799~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=47fccdeb&x-expires=1784718000&x-signature=xMYGjONoqsUNnd5V8yqOsIcQ90k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},296,451,"['700645', '601450', '601152']",7d6nmQAAAACOV4AEeERJl-yievH_HBssSdx8IwOeulxr937raDXoBg,2351,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Sulit FInds by Maryhel,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4648}}",agudomaryhel,"{'amount': '12753.397859', 'currency': 'USD'}","{'amount': '12741.63362', 'currency': 'USD'}","{'amount': '11.764239', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b9dd2205dd75c24ab0e5f59ae7d68480~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=dc280838&x-expires=1784718000&x-signature=apU4bsMPv49N2yLGYHUR2hKkY6o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},6932,768,"['700645', '601450', '602284']",6ghhVwAAAACOV4AEeERJl-yievH_HBsslvOdVC1Fy_phxyhOT7dCmA,118825,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Be REAch ✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6106}}",andiebiotic820mg,"{'amount': '73477.409035', 'currency': 'USD'}","{'amount': '11164.832033', 'currency': 'USD'}","{'amount': '62162.930649', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/82e1751181e8222255d852d3aed860fd~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=3fd97c49&x-expires=1784718000&x-signature=zkH%2BN3dVQtx0cMzz1ansvPNGB%2Fw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},599,4049,"['700645', '700437', '601450']",EW1HkAAAAACOV4AEeERJl-yievH_HBss0tMcZxImOSRm2PV1S6exXw,489902,{'formatted_range': '₱10K+'},LuxeSlim™️ Official,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6437}}",luxeslimofficial,,,
