name,batch_name,chunk_count,num_creators,target_collaboration_id,code,message
All_202606_02k-04k_01,All_202606_02k-04k,1,21,7661970332203550472,0,Success
All_202606_04k-06k_01,All_202606_04k-06k,1,10,7661970508745393940,0,Success
All_202606_06k-08k_01,All_202606_06k-08k,1,12,7661970369088603924,0,Success
All_202606_08k-10k_01,All_202606_08k-10k,1,7,7661970518602401552,0,Success
All_202606_10k-12k_01,All_202606_10k-12k,1,2,7661970495009081108,0,Success
Health_202606_02k-04k_01,Health_202606_02k-04k,1,12,7661970334190913301,0,Success
Health_202606_04k-06k_01,Health_202606_04k-06k,1,10,7661970532174645000,0,Success
Health_202606_06k-08k_01,Health_202606_06k-08k,1,11,7661970561066288913,0,Success
Health_202606_08k-10k_01,Health_202606_08k-10k,1,9,7661970554702726929,0,Success
Health_202606_10k-12k_01,Health_202606_10k-12k,1,6,7661970538965059346,0,Success
Health_202606_00k-02k_01,Health_202606_00k-02k,1,50,7661985753756845845,0,Success
Health_202606_00k-02k_02,Health_202606_00k-02k,2,50,7661985586839930632,0,Success
